Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Unit_Price,Quantity,Revenue,Profit,Channel,Year,Month_Name,Quarter
Amazon,1185732,2021-12-25,Northeast,Maine,Portland,Women's Street Footwear,41.00,68,278.8,139.40,Online,2021,December,4
Foot Locker,1185732,2021-12-22,Northeast,Maryland,Baltimore,Men's Apparel,54.00,51,275.4,112.91,Online,2021,December,4
Foot Locker,1185732,2020-12-07,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,37.00,73,270.1,121.55,Online,2020,December,4
Foot Locker,1185732,2021-12-27,Northeast,Pennsylvania,Philadelphia,Men's Apparel,64.00,42,268.8,129.02,Online,2021,December,4
Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43.00,62,266.6,122.64,Outlet,2021,December,4
Sports Direct,1185732,2021-12-08,Northeast,Rhode Island,Providence,Women's Athletic Footwear,34.00,77,261.8,112.57,Outlet,2021,December,4
Amazon,1185732,2021-12-19,Northeast,Maine,Portland,Women's Athletic Footwear,52.00,50,260,111.80,Online,2021,December,4
Foot Locker,1185732,2021-12-26,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43.00,60,258,118.68,Outlet,2021,December,4
Foot Locker,1185732,2021-12-10,Midwest,North Dakota,Fargo,Women's Athletic Footwear,47.00,54,253.8,104.06,Online,2021,December,4
Foot Locker,1185732,2020-12-02,Midwest,Minnesota,Minneapolis,Women's Street Footwear,37.00,68,251.6,100.64,Online,2020,December,4
Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men's Apparel,46.00,54,248.4,96.88,Outlet,2021,December,4
Foot Locker,1185732,2021-12-26,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,56.00,44,246.4,125.66,Online,2021,December,4
Foot Locker,1185732,2020-12-26,Midwest,Minnesota,Minneapolis,Women's Street Footwear,44.00,56,246.4,101.02,Online,2020,December,4
Foot Locker,1185732,2021-12-27,Northeast,Pennsylvania,Philadelphia,Men's Apparel,51.00,48,244.8,95.47,Outlet,2021,December,4
Foot Locker,1185732,2021-12-18,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,35.00,68,238,76.16,Outlet,2021,December,4
Foot Locker,1185732,2020-12-28,Midwest,Minnesota,Minneapolis,Men's Apparel,54.00,44,237.6,97.42,Online,2020,December,4
Sports Direct,1185732,2021-12-13,Midwest,South Dakota,Sioux Falls,Women's Athletic Footwear,45.00,50,225,101.25,Online,2021,December,4
Foot Locker,1185732,2021-12-02,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,51.00,44,224.4,118.93,Online,2021,December,4
Amazon,1185732,2021-12-27,Northeast,Maine,Portland,Men's Apparel,54.00,41,221.4,81.92,Online,2021,December,4
Foot Locker,1185732,2021-12-02,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,39.00,56,218.4,102.65,Outlet,2021,December,4
Foot Locker,1185732,2021-12-14,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,41.00,53,217.3,102.13,Online,2021,December,4
Foot Locker,1185732,2020-12-27,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,44.00,49,215.6,105.64,Online,2020,December,4
Foot Locker,1185732,2021-12-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,49.00,44,215.6,101.33,Online,2021,December,4
Amazon,1185732,2021-12-26,Northeast,Maine,Portland,Women's Athletic Footwear,41.00,51,209.1,85.73,Online,2021,December,4
Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,41.00,50,205,92.25,Online,2021,December,4
Foot Locker,1185732,2020-12-11,Midwest,Minnesota,Minneapolis,Women's Apparel,39.00,52,202.8,115.60,Online,2020,December,4
Foot Locker,1185732,2020-12-19,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,38.00,52,197.6,79.04,Online,2020,December,4
Foot Locker,1185732,2020-12-13,Midwest,Minnesota,Minneapolis,Men's Athletic Footwear,34.00,58,197.2,84.80,Online,2020,December,4
Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,32.00,60,192,76.80,Outlet,2021,December,4
Foot Locker,1185732,2021-12-15,Northeast,Pennsylvania,Philadelphia,Men's Apparel,50.00,36,180,81.00,Online,2021,December,4
Foot Locker,1185732,2020-12-22,Midwest,Minnesota,Minneapolis,Men's Apparel,52.00,34,176.8,74.26,Online,2020,December,4
Foot Locker,1185732,2020-12-04,Midwest,Minnesota,Minneapolis,Men's Apparel,42.00,42,176.4,72.32,Online,2020,December,4
Foot Locker,1185732,2020-12-21,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,38.00,45,171,83.79,Online,2020,December,4
Foot Locker,1185732,2021-12-14,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,32.00,53,169.6,69.54,Outlet,2021,December,4
Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,48.00,34,163.2,73.44,Online,2021,December,4
Amazon,1185732,2021-12-31,Northeast,Maine,Portland,Women's Street Footwear,41.00,38,155.8,85.69,Online,2021,December,4
Foot Locker,1185732,2020-12-03,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,33.00,47,155.1,76.00,Online,2020,December,4
Foot Locker,1185732,2021-12-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,56.00,27,151.2,65.02,Online,2021,December,4
Foot Locker,1185732,2021-12-15,Northeast,Pennsylvania,Philadelphia,Men's Apparel,36.00,41,147.6,50.18,Outlet,2021,December,4
Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,38.00,38,144.4,54.87,Outlet,2021,December,4
Foot Locker,1185732,2021-12-20,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,48.00,29,139.2,62.64,Online,2021,December,4
Foot Locker,1185732,2020-12-20,Midwest,Minnesota,Minneapolis,Women's Street Footwear,36.00,38,136.8,54.72,Online,2020,December,4
Foot Locker,1185732,2021-12-20,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,40.00,34,136,51.68,Outlet,2021,December,4
Foot Locker,1185732,2021-12-21,Northeast,Pennsylvania,Philadelphia,Men's Apparel,43.00,30,129,42.57,Outlet,2021,December,4
Foot Locker,1185732,2020-12-10,Midwest,Minnesota,Minneapolis,Men's Apparel,32.00,34,108.8,47.87,Online,2020,December,4
Foot Locker,1185732,2020-12-08,Midwest,Minnesota,Minneapolis,Women's Street Footwear,24.00,41,98.4,39.36,Online,2020,December,4
Foot Locker,1185732,2020-12-14,Midwest,Minnesota,Minneapolis,Women's Street Footwear,32.00,25,80,33.60,Online,2020,December,4
Foot Locker,1185732,2020-12-16,Midwest,Minnesota,Minneapolis,Men's Apparel,41.00,19,77.9,32.72,Online,2020,December,4
Foot Locker,1185732,2020-12-09,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,24.00,31,74.4,34.22,Online,2020,December,4
Foot Locker,1185732,2020-12-15,Midwest,Minnesota,Minneapolis,Women's Athletic Footwear,32.00,21,67.2,30.91,Online,2020,December,4
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Men's Street Footwear,60.00,1220,73200,36600.00,Outlet,2020,February,1
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Men's Street Footwear,50.00,1200,60000,30000.00,Outlet,2020,February,1
West Gear,1128299,2021-02-14,West,California,San Francisco,Men's Athletic Footwear,60.00,975,58500,8775.00,Outlet,2021,February,1
West Gear,1128299,2021-02-18,West,California,San Francisco,Women's Apparel,70.00,800,56000,5600.00,Outlet,2021,February,1
West Gear,1128299,2021-02-12,West,California,San Francisco,Women's Apparel,70.00,775,54250,5425.00,Outlet,2021,February,1
West Gear,1128299,2021-02-13,West,California,San Francisco,Men's Street Footwear,55.00,975,53625,16087.50,Outlet,2021,February,1
West Gear,1128299,2021-02-02,West,California,San Francisco,Men's Athletic Footwear,60.00,875,52500,7875.00,Outlet,2021,February,1
West Gear,1128299,2021-02-08,West,California,San Francisco,Men's Athletic Footwear,60.00,875,52500,7875.00,Outlet,2021,February,1
Foot Locker,1185732,2020-02-12,Northeast,New York,New York,Men's Apparel,60.00,875,52500,15750.00,Outlet,2020,February,1
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Men's Athletic Footwear,55.00,925,50875,15262.50,Outlet,2020,February,1
West Gear,1128299,2021-02-06,West,California,San Francisco,Women's Apparel,70.00,700,49000,4900.00,Outlet,2021,February,1
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Apparel,60.00,825,49500,14850.00,Outlet,2020,February,1
West Gear,1128299,2021-02-01,West,California,San Francisco,Men's Street Footwear,55.00,875,48125,14437.50,Outlet,2021,February,1
West Gear,1128299,2021-02-07,West,California,San Francisco,Men's Street Footwear,55.00,875,48125,14437.50,Outlet,2021,February,1
West Gear,1128299,2021-02-17,West,California,San Francisco,Men's Apparel,65.00,700,45500,20475.00,Outlet,2021,February,1
West Gear,1128299,2020-02-08,West,Nevada,Las Vegas,Women's Apparel,80.00,600,48000,12000.00,Outlet,2020,February,1
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Women's Apparel,50.00,950,47500,11875.00,Outlet,2020,February,1
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Women's Apparel,50.00,950,47500,11875.00,Outlet,2020,February,1
West Gear,1128299,2021-02-15,West,California,San Francisco,Women's Street Footwear,55.00,775,42625,12787.50,Outlet,2021,February,1
West Gear,1128299,2021-02-16,West,California,San Francisco,Women's Athletic Footwear,55.00,775,42625,10656.25,Outlet,2021,February,1
West Gear,1128299,2020-02-15,West,Nevada,Las Vegas,Men's Street Footwear,65.00,700,45500,18200.00,In-store,2020,February,1
West Gear,1128299,2020-02-16,West,Nevada,Las Vegas,Men's Athletic Footwear,70.00,650,45500,11375.00,In-store,2020,February,1
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Men's Athletic Footwear,50.00,900,45000,13500.00,Outlet,2020,February,1
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Women's Street Footwear,50.00,900,45000,15750.00,Outlet,2020,February,1
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Apparel,65.00,650,42250,19012.50,Outlet,2021,February,1
West Gear,1128299,2020-02-09,West,Nevada,Las Vegas,Men's Street Footwear,60.00,750,45000,18000.00,Outlet,2020,February,1
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Apparel,65.00,650,42250,19012.50,Outlet,2021,February,1
Foot Locker,1185732,2021-02-09,Southeast,Georgia,Atlanta,Men's Street Footwear,40.00,1075,43000,19350.00,Online,2021,February,1
West Gear,1128299,2021-02-09,West,California,San Francisco,Women's Street Footwear,55.00,725,39875,11962.50,Outlet,2021,February,1
West Gear,1128299,2021-02-03,West,California,San Francisco,Women's Street Footwear,55.00,700,38500,11550.00,Outlet,2021,February,1
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Athletic Footwear,55.00,700,38500,9625.00,Outlet,2021,February,1
Foot Locker,1185732,2020-02-11,Northeast,New York,New York,Women's Athletic Footwear,50.00,850,42500,14875.00,Outlet,2020,February,1
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Athletic Footwear,55.00,675,37125,9281.25,Outlet,2021,February,1
West Gear,1128299,2020-02-03,West,Nevada,Las Vegas,Men's Street Footwear,60.00,700,42000,18900.00,Outlet,2020,February,1
Kohl's,1189833,2021-02-20,West,California,San Francisco,Men's Athletic Footwear,45.00,700,31500,7875.00,Outlet,2021,February,1
West Gear,1185732,2021-02-12,Southeast,Florida,Orlando,Men's Street Footwear,45.00,900,40500,18225.00,In-store,2021,February,1
West Gear,1128299,2020-02-14,West,Nevada,Las Vegas,Women's Apparel,80.00,500,40000,8000.00,In-store,2020,February,1
West Gear,1128299,2020-02-22,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00,600,39000,7800.00,In-store,2020,February,1
West Gear,1128299,2020-02-10,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00,600,39000,9750.00,Outlet,2020,February,1
Kohl's,1189833,2021-02-19,West,California,San Francisco,Men's Street Footwear,35.00,700,24500,9800.00,Outlet,2021,February,1
West Gear,1128299,2021-02-14,West,California,San Francisco,Men's Athletic Footwear,58.00,273,1583.4,427.52,Online,2021,February,1
West Gear,1128299,2021-02-14,West,California,San Francisco,Men's Athletic Footwear,46.00,332,1527.2,320.71,Outlet,2021,February,1
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Athletic Footwear,45.00,825,37125,12993.75,Outlet,2020,February,1
West Gear,1128299,2021-02-13,West,California,San Francisco,Men's Street Footwear,51.00,293,1494.3,597.72,Online,2021,February,1
West Gear,1128299,2020-02-21,West,Nevada,Las Vegas,Men's Street Footwear,60.00,600,36000,12600.00,In-store,2020,February,1
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Women's Street Footwear,40.00,900,36000,12600.00,Outlet,2020,February,1
West Gear,1128299,2020-02-02,West,Nevada,Las Vegas,Women's Apparel,80.00,450,36000,9000.00,Outlet,2020,February,1
Kohl's,1189833,2021-02-03,Midwest,Montana,Billings,Women's Apparel,60.00,600,36000,9000.00,Outlet,2021,February,1
West Gear,1128299,2020-02-28,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00,550,35750,7150.00,In-store,2020,February,1
West Gear,1128299,2021-02-12,West,California,San Francisco,Women's Apparel,56.00,256,1433.6,215.04,Outlet,2021,February,1
West Gear,1128299,2020-02-04,West,Nevada,Las Vegas,Men's Athletic Footwear,65.00,550,35750,10725.00,Outlet,2020,February,1
West Gear,1128299,2020-02-05,West,Nevada,Las Vegas,Women's Street Footwear,65.00,550,35750,16087.50,Outlet,2020,February,1
West Gear,1128299,2020-02-11,West,Nevada,Las Vegas,Women's Street Footwear,65.00,550,35750,14300.00,In-store,2020,February,1
West Gear,1128299,2020-02-19,West,Nevada,Las Vegas,Men's Apparel,75.00,475,35625,19593.75,In-store,2020,February,1
West Gear,1128299,2021-02-08,West,California,San Francisco,Men's Athletic Footwear,46.00,306,1407.6,281.52,Outlet,2021,February,1
Foot Locker,1185732,2021-02-09,Southeast,South Carolina,Charleston,Men's Apparel,50.00,700,35000,12250.00,Online,2021,February,1
Kohl's,1189833,2021-02-11,Midwest,Montana,Billings,Men's Athletic Footwear,55.00,625,34375,10312.50,Outlet,2021,February,1
West Gear,1128299,2020-02-17,West,Nevada,Las Vegas,Women's Street Footwear,65.00,525,34125,13650.00,In-store,2020,February,1
Sports Direct,1185732,2021-02-06,Southeast,South Carolina,Charleston,Men's Street Footwear,35.00,975,34125,13650.00,Online,2021,February,1
Kohl's,1185732,2021-02-14,Northeast,New York,Albany,Men's Street Footwear,40.00,850,34000,17000.00,In-store,2021,February,1
West Gear,1128299,2020-02-26,West,Nevada,Las Vegas,Women's Apparel,75.00,450,33750,5062.50,In-store,2020,February,1
West Gear,1128299,2021-02-18,West,California,San Francisco,Women's Apparel,67.00,208,1393.6,320.53,Online,2021,February,1
West Gear,1128299,2020-02-27,West,Nevada,Las Vegas,Men's Street Footwear,60.00,550,33000,11550.00,In-store,2020,February,1
West Gear,1128299,2020-02-13,West,Nevada,Las Vegas,Men's Apparel,65.00,500,32500,17875.00,In-store,2020,February,1
West Gear,1128299,2021-02-08,West,California,San Francisco,Men's Athletic Footwear,58.00,236,1368.8,342.20,Online,2021,February,1
West Gear,1128299,2020-02-20,West,Nevada,Las Vegas,Women's Apparel,80.00,400,32000,6400.00,In-store,2020,February,1
West Gear,1128299,2021-02-07,West,California,San Francisco,Men's Street Footwear,52.00,263,1367.6,601.74,Online,2021,February,1
Amazon,1185732,2021-02-24,West,Alaska,Anchorage,Men's Street Footwear,55.00,575,31625,11068.75,Outlet,2021,February,1
Foot Locker,1185732,2021-02-24,Northeast,New Hampshire,Manchester,Men's Street Footwear,55.00,575,31625,11068.75,Outlet,2021,February,1
West Gear,1128299,2021-02-12,West,California,San Francisco,Women's Apparel,67.00,202,1353.4,284.21,Online,2021,February,1
West Gear,1128299,2020-02-18,West,Nevada,Las Vegas,Women's Athletic Footwear,65.00,475,30875,10806.25,In-store,2020,February,1
Kohl's,1189833,2021-02-10,Midwest,Montana,Billings,Men's Street Footwear,45.00,675,30375,13668.75,Outlet,2021,February,1
West Gear,1185732,2021-02-12,Northeast,New York,Albany,Men's Apparel,55.00,550,30250,10587.50,In-store,2021,February,1
Kohl's,1189833,2021-02-04,Midwest,Montana,Billings,Men's Street Footwear,40.00,750,30000,13500.00,Outlet,2021,February,1
Kohl's,1189833,2021-02-17,Midwest,Montana,Billings,Men's Athletic Footwear,50.00,600,30000,9000.00,Outlet,2021,February,1
Amazon,1185732,2021-02-21,Northeast,Vermont,Burlington,Men's Street Footwear,50.00,600,30000,12000.00,In-store,2021,February,1
West Gear,1128299,2021-02-02,West,California,San Francisco,Men's Athletic Footwear,59.00,219,1292.1,374.71,Online,2021,February,1
West Gear,1128299,2021-02-13,West,California,San Francisco,Men's Street Footwear,40.00,322,1288,425.04,Outlet,2021,February,1
West Gear,1185732,2021-02-12,Northeast,New York,Albany,Women's Apparel,45.00,650,29250,14625.00,In-store,2021,February,1
Foot Locker,1185732,2021-02-09,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40.00,725,29000,10150.00,Online,2021,February,1
Amazon,1185732,2021-02-13,Southeast,North Carolina,Charlotte,Men's Street Footwear,35.00,825,28875,11550.00,Online,2021,February,1
West Gear,1128299,2021-02-18,West,California,San Francisco,Women's Apparel,50.00,256,1280,217.60,Outlet,2021,February,1
Kohl's,1189833,2021-02-09,Midwest,Montana,Billings,Women's Apparel,60.00,475,28500,7125.00,Outlet,2021,February,1
West Gear,1128299,2020-02-25,West,Nevada,Las Vegas,Men's Apparel,70.00,400,28000,14000.00,In-store,2020,February,1
Sports Direct,1185732,2021-02-19,Southeast,Virginia,Richmond,Men's Street Footwear,35.00,800,28000,14000.00,In-store,2021,February,1
Foot Locker,1185732,2021-02-09,Southeast,South Carolina,Charleston,Women's Apparel,35.00,800,28000,14000.00,Online,2021,February,1
West Gear,1128299,2021-02-06,West,California,San Francisco,Women's Apparel,63.00,196,1234.8,284.00,Online,2021,February,1
Kohl's,1189833,2021-02-23,Midwest,Montana,Billings,Men's Athletic Footwear,50.00,550,27500,8250.00,Outlet,2021,February,1
West Gear,1128299,2021-02-15,West,California,San Francisco,Women's Street Footwear,52.00,233,1211.6,484.64,Online,2021,February,1
West Gear,1128299,2020-02-23,West,Nevada,Las Vegas,Women's Street Footwear,60.00,450,27000,9450.00,In-store,2020,February,1
West Gear,1128299,2021-02-01,West,California,San Francisco,Men's Street Footwear,51.00,236,1203.6,541.62,Online,2021,February,1
West Gear,1128299,2020-02-12,West,Nevada,Las Vegas,Women's Athletic Footwear,60.00,450,27000,9450.00,In-store,2020,February,1
Kohl's,1189833,2021-02-05,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,600,27000,8100.00,Outlet,2021,February,1
Kohl's,1189833,2021-02-16,Midwest,Montana,Billings,Men's Street Footwear,45.00,600,27000,12150.00,Outlet,2021,February,1
Kohl's,1189833,2021-02-21,Midwest,Montana,Billings,Women's Apparel,60.00,450,27000,6750.00,Outlet,2021,February,1
Sports Direct,1185732,2021-02-06,Southeast,North Carolina,Charlotte,Men's Apparel,45.00,600,27000,9450.00,Online,2021,February,1
Amazon,1185732,2021-02-14,Northeast,Massachusetts,Boston,Men's Street Footwear,45.00,575,25875,11643.75,In-store,2021,February,1
West Gear,1128299,2020-02-06,West,Nevada,Las Vegas,Women's Athletic Footwear,60.00,425,25500,10200.00,Outlet,2020,February,1
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Apparel,51.00,228,1162.8,546.52,Outlet,2021,February,1
Kohl's,1189833,2021-02-12,Midwest,Montana,Billings,Women's Street Footwear,50.00,500,25000,11250.00,Outlet,2021,February,1
Kohl's,1185732,2021-02-14,West,Wyoming,Cheyenne,Men's Apparel,50.00,500,25000,7500.00,In-store,2021,February,1
Kohl's,1189833,2021-02-06,Midwest,Montana,Billings,Women's Street Footwear,45.00,550,24750,11137.50,Outlet,2021,February,1
Kohl's,1189833,2021-02-22,Midwest,Montana,Billings,Men's Street Footwear,45.00,550,24750,11137.50,Outlet,2021,February,1
West Gear,1185732,2021-02-12,Southeast,Florida,Orlando,Men's Athletic Footwear,45.00,550,24750,8662.50,In-store,2021,February,1
West Gear,1128299,2021-02-15,West,California,San Francisco,Women's Street Footwear,44.00,256,1126.4,371.71,Outlet,2021,February,1
West Gear,1128299,2021-02-10,West,California,San Francisco,Women's Athletic Footwear,53.00,210,1113,445.20,Online,2021,February,1
West Gear,1128299,2020-02-24,West,Nevada,Las Vegas,Women's Athletic Footwear,60.00,400,24000,7200.00,In-store,2020,February,1
Kohl's,1189833,2021-02-15,Midwest,Montana,Billings,Women's Apparel,60.00,400,24000,6000.00,Outlet,2021,February,1
Kohl's,1189833,2021-02-27,Midwest,Montana,Billings,Women's Apparel,60.00,400,24000,6000.00,Outlet,2021,February,1
Kohl's,1185732,2021-02-14,West,Wyoming,Cheyenne,Women's Apparel,40.00,600,24000,6000.00,In-store,2021,February,1
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Apparel,50.00,221,1105,519.35,Outlet,2021,February,1
West Gear,1128299,2021-02-02,West,California,San Francisco,Men's Athletic Footwear,39.00,280,1092,196.56,Outlet,2021,February,1
Kohl's,1189833,2021-02-14,Midwest,Montana,Billings,Men's Apparel,55.00,425,23375,14025.00,Outlet,2021,February,1
Foot Locker,1185732,2021-02-09,Southeast,Georgia,Atlanta,Women's Street Footwear,30.00,775,23250,5812.50,Online,2021,February,1
Foot Locker,1185732,2021-02-20,Southeast,Kentucky,Louisville,Men's Street Footwear,30.00,775,23250,9300.00,Online,2021,February,1
Kohl's,1189833,2021-02-28,Midwest,Montana,Billings,Men's Street Footwear,40.00,575,23000,10350.00,Outlet,2021,February,1
Foot Locker,1185732,2021-02-17,Northeast,Maryland,Baltimore,Men's Street Footwear,40.00,575,23000,8050.00,In-store,2021,February,1
West Gear,1128299,2021-02-16,West,California,San Francisco,Women's Athletic Footwear,40.00,271,1084,325.20,Outlet,2021,February,1
West Gear,1128299,2020-02-29,West,Nevada,Las Vegas,Women's Street Footwear,60.00,375,22500,7875.00,In-store,2020,February,1
West Gear,1128299,2021-02-05,West,California,San Francisco,Men's Apparel,59.00,182,1073.8,622.80,Online,2021,February,1
Kohl's,1189833,2021-02-20,Midwest,Montana,Billings,Men's Apparel,55.00,400,22000,13200.00,Outlet,2021,February,1
Amazon,1185732,2021-02-24,Midwest,Ohio,Columbus,Men's Street Footwear,40.00,550,22000,8800.00,Online,2021,February,1
Sports Direct,1185732,2021-02-07,Northeast,New Jersey,Newark,Men's Street Footwear,40.00,550,22000,8800.00,In-store,2021,February,1
Foot Locker,1185732,2021-02-09,Southeast,South Carolina,Charleston,Women's Athletic Footwear,35.00,625,21875,6562.50,Online,2021,February,1
Sports Direct,1185732,2021-02-06,Southeast,South Carolina,Charleston,Men's Athletic Footwear,35.00,625,21875,7656.25,Online,2021,February,1
West Gear,1128299,2021-02-17,West,California,San Francisco,Men's Apparel,43.00,245,1053.5,547.82,Outlet,2021,February,1
Kohl's,1189833,2021-02-08,Midwest,Montana,Billings,Men's Apparel,45.00,475,21375,12825.00,Outlet,2021,February,1
West Gear,1128299,2021-02-09,West,California,San Francisco,Women's Street Footwear,50.00,210,1050,420.00,Online,2021,February,1
Sports Direct,1128299,2021-02-19,West,Hawaii,Honolulu,Men's Athletic Footwear,50.00,425,21250,5312.50,Outlet,2021,February,1
Sports Direct,1128299,2021-02-19,West,Hawaii,Honolulu,Women's Street Footwear,50.00,425,21250,6375.00,Outlet,2021,February,1
Sports Direct,1128299,2021-02-19,West,Hawaii,Honolulu,Men's Street Footwear,40.00,525,21000,6300.00,Outlet,2021,February,1
West Gear,1185732,2021-02-12,Southeast,Florida,Orlando,Women's Street Footwear,35.00,600,21000,5250.00,In-store,2021,February,1
Foot Locker,1197831,2021-02-06,South,Louisiana,New Orleans,Men's Athletic Footwear,35.00,600,21000,6300.00,Online,2021,February,1
Sports Direct,1185732,2021-02-06,Southeast,North Carolina,Charlotte,Women's Apparel,30.00,700,21000,10500.00,Online,2021,February,1
Foot Locker,1185732,2021-02-14,Midwest,Kansas,Wichita,Men's Street Footwear,40.00,525,21000,7350.00,Online,2021,February,1
West Gear,1128299,2021-02-01,West,California,San Francisco,Men's Street Footwear,36.00,289,1040.4,343.33,Outlet,2021,February,1
Kohl's,1189833,2021-02-18,Midwest,Montana,Billings,Women's Street Footwear,45.00,450,20250,9112.50,Outlet,2021,February,1
Sports Direct,1185732,2021-02-19,Midwest,Michigan,Detroit,Men's Apparel,45.00,450,20250,8100.00,In-store,2021,February,1
Foot Locker,1185732,2021-02-20,Midwest,Michigan,Detroit,Men's Street Footwear,30.00,675,20250,8100.00,In-store,2021,February,1
Amazon,1185732,2021-02-13,Midwest,Ohio,Columbus,Men's Apparel,45.00,450,20250,7087.50,Online,2021,February,1
West Gear,1128299,2021-02-04,West,California,San Francisco,Women's Athletic Footwear,51.00,203,1035.3,372.71,Online,2021,February,1
Sports Direct,1128299,2021-02-19,Southeast,Florida,Orlando,Women's Apparel,50.00,400,20000,9000.00,Outlet,2021,February,1
Kohl's,1185732,2021-02-14,Northeast,New York,Albany,Men's Athletic Footwear,40.00,500,20000,6000.00,In-store,2021,February,1
Sports Direct,1185732,2021-02-17,Northeast,Rhode Island,Providence,Men's Street Footwear,40.00,500,20000,6000.00,In-store,2021,February,1
West Gear,1128299,2020-02-07,West,Nevada,Las Vegas,Men's Apparel,65.00,300,19500,11700.00,Outlet,2020,February,1
West Gear,1128299,2021-02-17,West,California,San Francisco,Men's Apparel,59.00,175,1032.5,619.50,Online,2021,February,1
Kohl's,1189833,2021-02-26,Midwest,Montana,Billings,Men's Apparel,55.00,350,19250,11550.00,Outlet,2021,February,1
Amazon,1185732,2021-02-24,West,Alaska,Anchorage,Women's Apparel,55.00,350,19250,5775.00,Outlet,2021,February,1
Sports Direct,1185732,2021-02-19,Midwest,Michigan,Detroit,Women's Apparel,35.00,550,19250,10587.50,In-store,2021,February,1
West Gear,1185732,2021-02-12,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,35.00,550,19250,7700.00,In-store,2021,February,1
West Gear,1185732,2021-02-19,Midwest,Indiana,Indianapolis,Men's Street Footwear,35.00,550,19250,7700.00,In-store,2021,February,1
Kohl's,1189833,2021-02-13,Midwest,Montana,Billings,Women's Athletic Footwear,45.00,425,19125,7650.00,Outlet,2021,February,1
Kohl's,1128299,2021-02-28,West,Arizona,Phoenix,Men's Athletic Footwear,45.00,425,19125,7650.00,Online,2021,February,1
Kohl's,1128299,2021-02-28,West,Arizona,Phoenix,Women's Street Footwear,45.00,425,19125,6693.75,Online,2021,February,1
West Gear,1185732,2021-02-12,Northeast,New York,Albany,Women's Athletic Footwear,40.00,475,19000,5700.00,In-store,2021,February,1
Amazon,1185732,2021-02-21,Northeast,New Hampshire,Manchester,Women's Apparel,50.00,375,18750,6562.50,In-store,2021,February,1
West Gear,1128299,2021-02-06,West,California,San Francisco,Women's Apparel,46.00,224,1030.4,123.65,Outlet,2021,February,1
Kohl's,1128299,2021-02-28,West,Arizona,Phoenix,Men's Street Footwear,35.00,525,18375,6431.25,Online,2021,February,1
Sports Direct,1185732,2021-02-11,Midwest,South Dakota,Sioux Falls,Men's Street Footwear,35.00,525,18375,6431.25,Online,2021,February,1
Kohl's,1185732,2021-02-10,Northeast,Delaware,Wilmington,Men's Street Footwear,35.00,525,18375,6431.25,In-store,2021,February,1
